id,x,y,label,layer,R,B,G
01,2.3217133796609803,2.579840672665196,01,1,102,165,194
02,4.0,0.7134204536280859,02,1,102,165,194
03,0.9093085300208084,3.4318445206531365,03,1,102,165,194
04,0.3702016002875581,1.7313084721824605,04,1,102,165,194
05,1.684490057978039,2.2648856203509413,05,1,102,165,194
06,2.3047363863179324,1.906582313699892,06,1,102,165,194
07,1.1707441962933407,2.7625411734220937,07,1,102,165,194
08,0.9861730778262898,2.1025146940617327,08,1,102,165,194
09,2.8386588880885952,1.4431522502005665,09,1,102,165,194
10,3.413973883526456,1.0639098291358944,10,1,102,165,194
a02,4.0,0.7134204536280859,02,2,252,98,141
a06,2.3047363863179324,1.906582313699892,06,2,252,98,141
a09,2.8386588880885952,1.4431522502005665,09,2,252,98,141
a10,3.413973883526456,1.0639098291358944,10,2,252,98,141
b01,2.3217133796609803,2.579840672665196,01,3,141,203,160
b05,1.684490057978039,2.2648856203509413,05,3,141,203,160
b06,2.3047363863179324,1.906582313699892,06,3,141,203,160
b08,0.9861730778262898,2.1025146940617327,08,3,141,203,160
c03,0.9093085300208084,3.4318445206531365,03,4,231,195,138
c05,1.684490057978039,2.2648856203509413,05,4,231,195,138
c07,1.1707441962933407,2.7625411734220937,07,4,231,195,138
c08,0.9861730778262898,2.1025146940617327,08,4,231,195,138
