id,x,y,label,layer,R,G,B
a,2.3217133796609803,2.579840672665196,a,1,200,200,200
b,4.0,0.7134204536280859,b,1,200,200,200
c,0.9093085300208084,3.4318445206531365,c,1,200,200,200
d,0.3702016002875581,1.7313084721824605,d,1,200,200,200
e,1.684490057978039,2.2648856203509413,e,1,200,200,200
f,2.3047363863179324,1.906582313699892,f,1,200,200,200
g,1.1707441962933407,2.7625411734220937,g,1,200,200,200
h,0.9861730778262898,2.1025146940617327,h,1,200,200,200
i,2.8386588880885952,1.4431522502005665,i,1,200,200,200
j,3.413973883526456,1.0639098291358944,j,1,200,200,200
