id,x,y,label,layer,R,G,B,opacity,NoLabel,style
a,2.3217133796609803,2.579840672665196,a,1,200,200,200,1,false,{}
b,4.0,0.7134204536280859,b,1,200,200,200,1,false,{}
c,0.9093085300208084,3.4318445206531365,c,1,200,200,200,1,false,{}
d,0.3702016002875581,1.7313084721824605,d,1,200,200,200,1,false,{}
e,1.684490057978039,2.2648856203509413,e,1,200,200,200,1,false,{}
f,2.3047363863179324,1.906582313699892,f,1,200,200,200,1,false,{}
g,1.1707441962933407,2.7625411734220937,g,1,200,200,200,1,false,{}
h,0.9861730778262898,2.1025146940617327,h,1,200,200,200,1,false,{}
i,2.8386588880885952,1.4431522502005665,i,1,200,200,200,1,false,{}
j,3.413973883526456,1.0639098291358944,j,1,200,200,200,1,false,{}
ab,4.0,0.7134204536280859,b,2,252,98,141,1,false,{}
af,2.3047363863179324,1.906582313699892,f,2,252,98,141,1,false,{}
ai,2.8386588880885952,1.4431522502005665,i,2,252,98,141,1,false,{}
aj,3.413973883526456,1.0639098291358944,j,2,252,98,141,1,false,{}
aa,2.3217133796609803,2.579840672665196,a,2,200,200,200,0.2,true,dashed
ac,0.9093085300208084,3.4318445206531365,c,2,200,200,200,0.2,true,dashed
ad,0.3702016002875581,1.7313084721824605,d,2,200,200,200,0.2,true,dashed
ae,1.684490057978039,2.2648856203509413,e,2,200,200,200,0.2,true,dashed
ag,1.1707441962933407,2.7625411734220937,g,2,200,200,200,0.2,true,dashed
ah,0.9861730778262898,2.1025146940617327,h,2,200,200,200,0.2,true,dashed
ba,2.3217133796609803,2.579840672665196,a,3,141,203,160,1,false,{}
be,1.684490057978039,2.2648856203509413,e,3,141,203,160,1,false,{}
bf,2.3047363863179324,1.906582313699892,f,3,141,203,160,1,false,{}
bh,0.9861730778262898,2.1025146940617327,h,3,141,203,160,1,false,{}
bb,4.0,0.7134204536280859,b,3,200,200,200,0.2,true,dashed
bc,0.9093085300208084,3.4318445206531365,c,3,200,200,200,0.2,true,dashed
bd,0.3702016002875581,1.7313084721824605,d,3,200,200,200,0.2,true,dashed
bg,1.1707441962933407,2.7625411734220937,g,3,200,200,200,0.2,true,dashed
bi,2.8386588880885952,1.4431522502005665,i,3,200,200,200,0.2,true,dashed
bj,3.413973883526456,1.0639098291358944,j,3,200,200,200,0.2,true,dashed
cc,0.9093085300208084,3.4318445206531365,c,4,231,195,138,1,false,{}
ce,1.684490057978039,2.2648856203509413,e,4,231,195,138,1,false,{}
cg,1.1707441962933407,2.7625411734220937,g,4,231,195,138,1,false,{}
ch,0.9861730778262898,2.1025146940617327,h,4,231,195,138,1,false,{}
ca,2.3217133796609803,2.579840672665196,a,4,200,200,200,0.2,true,dashed
cb,4.0,0.7134204536280859,b,4,200,200,200,0.2,true,dashed
cd,0.3702016002875581,1.7313084721824605,d,4,200,200,200,0.2,true,dashed
cf,2.3047363863179324,1.906582313699892,f,4,200,200,200,0.2,true,dashed
ci,2.8386588880885952,1.4431522502005665,i,4,200,200,200,0.2,true,dashed
cj,3.413973883526456,1.0639098291358944,j,4,200,200,200,0.2,true,dashed
dd,0.3702016002875581,1.7313084721824605,d,5,102,165,194,1,false,{}
dh,0.9861730778262898,2.1025146940617327,h,5,102,165,194,1,false,{}
de,1.684490057978039,2.2648856203509413,e,5,102,165,194,1,false,{}
da,2.3217133796609803,2.579840672665196,a,5,200,200,200,0.2,true,dashed
db,4.0,0.7134204536280859,b,5,200,200,200,0.2,true,dashed
dc,0.9093085300208084,3.4318445206531365,c,5,200,200,200,0.2,true,dashed
df,2.3047363863179324,1.906582313699892,f,5,200,200,200,0.2,true,dashed
dg,1.1707441962933407,2.7625411734220937,g,5,200,200,200,0.2,true,dashed
di,2.8386588880885952,1.4431522502005665,i,5,200,200,200,0.2,true,dashed
dj,3.413973883526456,1.0639098291358944,j,5,200,200,200,0.2,true,dashed
